"activity" "measurement" "avg"
"LAYING" "angle(tBodyAccJerkMean),gravityMean)" 0.0160126165105041
"LAYING" "angle(tBodyAccMean,gravity)" 0.0103659924336903
"LAYING" "angle(tBodyGyroJerkMean,gravityMean)" 0.00919134168691049
"LAYING" "angle(tBodyGyroMean,gravityMean)" 0.0227878882086008
"LAYING" "angle(X,gravityMean)" 0.520261132799383
"LAYING" "angle(Y,gravityMean)" -0.435944284216049
"LAYING" "angle(Z,gravityMean)" -0.42774881762037
"LAYING" "fBodyAcc-mean()-X" -0.966812071347737
"LAYING" "fBodyAcc-mean()-Y" -0.952678416904835
"LAYING" "fBodyAcc-mean()-Z" -0.960018019984568
"LAYING" "fBodyAcc-meanFreq()-X" -0.259376067222388
"LAYING" "fBodyAcc-meanFreq()-Y" 0.143045583957866
"LAYING" "fBodyAcc-meanFreq()-Z" 0.20318696277
"LAYING" "fBodyAcc-std()-X" -0.959031456047479
"LAYING" "fBodyAcc-std()-Y" -0.942460971074588
"LAYING" "fBodyAcc-std()-Z" -0.945643635450566
"LAYING" "fBodyAccJerk-mean()-X" -0.980197655180041
"LAYING" "fBodyAccJerk-mean()-Y" -0.971383628894033
"LAYING" "fBodyAccJerk-mean()-Z" -0.976614530180041
"LAYING" "fBodyAccJerk-meanFreq()-X" 0.105178707989746
"LAYING" "fBodyAccJerk-meanFreq()-Y" 0.00485365387352315
"LAYING" "fBodyAccJerk-meanFreq()-Z" 0.0699619900375761
"LAYING" "fBodyAccJerk-std()-X" -0.982459599243827
"LAYING" "fBodyAccJerk-std()-Y" -0.973051242896091
"LAYING" "fBodyAccJerk-std()-Z" -0.980971915740741
"LAYING" "fBodyAccMag-mean()" -0.94767271172428
"LAYING" "fBodyAccMag-meanFreq()" 0.116228984859398
"LAYING" "fBodyAccMag-std()" -0.934916672889661
"LAYING" "fBodyBodyAccJerkMag-mean()" -0.974300115365226
"LAYING" "fBodyBodyAccJerkMag-meanFreq()" 0.281115014821636
"LAYING" "fBodyBodyAccJerkMag-std()" -0.97318339962963
"LAYING" "fBodyBodyGyroJerkMag-mean()" -0.977968240452675
"LAYING" "fBodyBodyGyroJerkMag-meanFreq()" 0.165728127309943
"LAYING" "fBodyBodyGyroJerkMag-std()" -0.976648216795267
"LAYING" "fBodyBodyGyroMag-mean()" -0.95485445779321
"LAYING" "fBodyBodyGyroMag-meanFreq()" -0.0293652946094444
"LAYING" "fBodyBodyGyroMag-std()" -0.942115714415638
"LAYING" "fBodyGyro-mean()-X" -0.962915035776389
"LAYING" "fBodyGyro-mean()-Y" -0.967582058544239
"LAYING" "fBodyGyro-mean()-Z" -0.964184423173868
"LAYING" "fBodyGyro-meanFreq()-X" -0.0174605087394012
"LAYING" "fBodyGyro-meanFreq()-Y" -0.139337310710561
"LAYING" "fBodyGyro-meanFreq()-Z" 0.11328010251823
"LAYING" "fBodyGyro-std()-X" -0.96974730340535
"LAYING" "fBodyGyro-std()-Y" -0.961365374902263
"LAYING" "fBodyGyro-std()-Z" -0.966725247165638
"LAYING" "tBodyAcc-mean()-X" 0.268648643296245
"LAYING" "tBodyAcc-mean()-Y" -0.0183177280685082
"LAYING" "tBodyAcc-mean()-Z" -0.107435631519084
"LAYING" "tBodyAcc-std()-X" -0.960932405036523
"LAYING" "tBodyAcc-std()-Y" -0.943507185574074
"LAYING" "tBodyAcc-std()-Z" -0.948069300024897
"LAYING" "tBodyAccJerk-mean()-X" 0.0818473898341049
"LAYING" "tBodyAccJerk-mean()-Y" 0.0111723565401199
"LAYING" "tBodyAccJerk-mean()-Z" -0.00485976942268338
"LAYING" "tBodyAccJerk-std()-X" -0.980381808513375
"LAYING" "tBodyAccJerk-std()-Y" -0.971147567757202
"LAYING" "tBodyAccJerk-std()-Z" -0.979476595910494
"LAYING" "tBodyAccJerkMag-mean()" -0.97920875497428
"LAYING" "tBodyAccJerkMag-std()" -0.974240573559671
"LAYING" "tBodyAccMag-mean()" -0.941110656500514
"LAYING" "tBodyAccMag-std()" -0.932160020511831
"LAYING" "tBodyGyro-mean()-X" -0.0167253403420918
"LAYING" "tBodyGyro-mean()-Y" -0.0934107103603086
"LAYING" "tBodyGyro-mean()-Z" 0.125885141252623
"LAYING" "tBodyGyro-std()-X" -0.967892432932613
"LAYING" "tBodyGyro-std()-Y" -0.963192469243827
"LAYING" "tBodyGyro-std()-Z" -0.963509228024691
"LAYING" "tBodyGyroJerk-mean()-X" -0.101864299363374
"LAYING" "tBodyGyroJerk-mean()-Y" -0.038198085408019
"LAYING" "tBodyGyroJerk-mean()-Z" -0.0638498197415123
"LAYING" "tBodyGyroJerk-std()-X" -0.976124813760288
"LAYING" "tBodyGyroJerk-std()-Y" -0.980473581049383
"LAYING" "tBodyGyroJerk-std()-Z" -0.984782526095679
"LAYING" "tBodyGyroJerkMag-mean()" -0.982726626075103
"LAYING" "tBodyGyroJerkMag-std()" -0.976754966054527
"LAYING" "tBodyGyroMag-mean()" -0.938435972026749
"LAYING" "tBodyGyroMag-std()" -0.940596109587449
"LAYING" "tGravityAcc-mean()-X" -0.375021333827161
"LAYING" "tGravityAcc-mean()-Y" 0.622270362899691
"LAYING" "tGravityAcc-mean()-Z" 0.55561247407572
"LAYING" "tGravityAcc-std()-X" -0.943319727953189
"LAYING" "tGravityAcc-std()-Y" -0.963191706084414
"LAYING" "tGravityAcc-std()-Z" -0.951868724368827
"LAYING" "tGravityAccMag-mean()" -0.941110656500514
"LAYING" "tGravityAccMag-std()" -0.932160020511831
"SITTING" "angle(tBodyAccJerkMean),gravityMean)" 0.00245822441608329
"SITTING" "angle(tBodyAccMean,gravity)" 0.0120341365249443
"SITTING" "angle(tBodyGyroJerkMean,gravityMean)" -0.0332596860601407
"SITTING" "angle(tBodyGyroMean,gravityMean)" 0.013413369093063
"SITTING" "angle(X,gravityMean)" -0.706041819104671
"SITTING" "angle(Y,gravityMean)" 0.00613978992085537
"SITTING" "angle(Z,gravityMean)" -0.0895319535489927
"SITTING" "fBodyAcc-mean()-X" -0.983091966702307
"SITTING" "fBodyAcc-mean()-Y" -0.947917966193585
"SITTING" "fBodyAcc-mean()-Z" -0.957031035425999
"SITTING" "fBodyAcc-meanFreq()-X" -0.0426402475024423
"SITTING" "fBodyAcc-meanFreq()-Y" 0.0653031714930951
"SITTING" "fBodyAcc-meanFreq()-Z" 0.0802983762109857
"SITTING" "fBodyAcc-std()-X" -0.983747266764209
"SITTING" "fBodyAcc-std()-Y" -0.932533490271469
"SITTING" "fBodyAcc-std()-Z" -0.934336687975915
"SITTING" "fBodyAccJerk-mean()-X" -0.985188769302195
"SITTING" "fBodyAccJerk-mean()-Y" -0.973988189836804
"SITTING" "fBodyAccJerk-mean()-Z" -0.97956197226224
"SITTING" "fBodyAccJerk-meanFreq()-X" 0.185014353841248
